fecha,me_gusta,comentarios,visualizaciones,descripcion,link
2025-12-27T12:09:35.000Z,46,7,NA,"CORRUPCIÓN DE JUECES Y FUNDACIONES DE INFANCIA
Chile tiene informes, nombres y fechas… y aun así sigue teniendo niños muertos.
Durante años se han escrito informes oficiales que detallan muertes, negligencias y vulneraciones graves dentro del sistema de protección del Estado. Informes que muchos leyeron, pocos entendieron y casi nadie quiso enfrentar.
El Informe Jeldres (2017) reveló más de 1.300 niños y niñas fallecidos bajo custodia del Estado. El caso de Lissette Villa, muerta en el CREAD Galvarino, no fue un error ni un hecho aislado: fue la consecuencia directa de un sistema que normalizó la violencia, el abandono y la impunidad.
La Comisión Investigadora, los informes del INDH y la creación del Servicio Mejor Niñez confirmaron lo que muchos venimos diciendo hace años: el sistema no protege, administra daño.
Yo, como ex SENAME, doy fe de esto. Lo viví en carne propia. Y hoy, como activista por la niñez, lo confirmo con cientos de casos reales que llegan a mí, tanto de víctimas como de trabajadores de ambos servicios. Relatos que se repiten, historias calcadas, dolores idénticos.
Informes hechos con copiar y pegar, diagnósticos reciclados, evaluaciones que no miran al niño sino al financiamiento. Fundaciones “sin fines de lucro” que diagnostican, derivan y ejecutan sus propios programas, asegurando recursos mientras los niños siguen siendo dañados. La vida reducida a un formulario.
Jueces que no escuchan. Fiscales que archivan. Funcionarios que miran hacia otro lado. Decisiones que llegan tarde, cuando el daño ya es irreversible.
Cambian los nombres, cambian los logos, pero el abandono sigue intacto.
Niños medicados, abusados, silenciados.
Algunos mueren. Otros sobreviven cargando heridas de por vida.
Esto no es ideología.
Esto es realidad.
Esto es Chile.
Mientras no se ponga a la niñez en el centro, seguiremos contando muertos y llamándolo sistema.
Por los que ya no están.
Por los que aún pueden ser protegidos.
Porque la infancia no se negocia. #ni1diamas_  @diputadourruticoechea @falsas_denuncias_chile @chile_in_justo_",https://www.instagram.com/ni1diamas_/reel/DSxCvCNkQjA/
2025-12-26T15:46:51.000Z,173,3,NA,Ese rol que no dejas cumplir solo@afectará a tus hijos #ni1diamas_ 🤍,https://www.instagram.com/ni1diamas_/reel/DSu3DAbkSCA/
2025-12-26T15:12:18.000Z,58,1,NA,"Cuando vamos a frenar esta ideología extrema degenerada apoyada por juezas , políticos ideologizados , abogadas feministas , sicólogas corruptas y toda esta red de gente sin valores que solo promueven la degeneración de la raza humana? Ahora quieren a nuestros hijos? BASTA! #ni1diamas_ ⚠️⚠️",https://www.instagram.com/ni1diamas_/reel/DSuzAmakWmA/
2025-12-26T00:29:37.000Z,4,0,NA,"Llamado ex #2 , algo de humor para cerrar #ni1diamas_",https://www.instagram.com/ni1diamas_/reel/DStOF8vkfjz/
2025-12-25T17:38:07.000Z,129,23,NA,RECHACEN ESTA BASURA!  Ya nadie les cree ladronas y oportunistas pagadas por LA IZQUIERDA IDEOLÓGICA son una VERGÜENZA NACIONAL mal nacidas enfermas por una ideología extrema de ODIO son ustedes mismas las que se CAGARON SU PROPIO GÉNERO CON SECUESTROS A NIÑOS APOYO A VIOLADORES SECUESTRO DEL PODER JUDICIAL VIAJES A ARGENTINA APOR QUE ACÁ NO TENÍAN PEGA Todos unidos para que sepan que NO SON BIENVENIDAS LAS EXTREMISTAS DEL ODIO Y DAÑO A LA SOCIEDAD CHILENA #ni1diamas_,https://www.instagram.com/ni1diamas_/reel/DSsPtV0EXcX/
2025-12-25T15:06:48.000Z,94,4,NA,"Ahora a ponerle todo el talento!!! A avanzar en NUESTRA LEY a seguir trabajando más duro que nunca y a cumplir nuestros sueños rescatando todo nuestro AMOR PROPIO , somos padres y por nuestros hijos no nos rendiremos JAMÁS #ni1diamas_ 💪🏻💪🏻💪🏻",https://www.instagram.com/ni1diamas_/p/DSsNx_ukUit/
2025-12-24T22:31:00.000Z,76,16,NA,#ni1diamas_ de este dolor  NO SOMOS DELINCUENTES Y MENOS CRIMINALES  queremos solamente ver y estar con nuestros hijos es demasiado pedir? Un abrazo fraterno a todos quienes estamos en esta situación ánimo y fuerza 🤍🤍🤍 @diputadourruticoechea marasedini @joukaiser @falsas_denuncias_chile,https://www.instagram.com/ni1diamas_/reel/DSqXIGAkYio/
2025-12-24T15:28:14.000Z,131,13,NA,#ni1diamas_,https://www.instagram.com/ni1diamas_/p/DSprcBKkXKf/
2025-12-24T15:09:53.000Z,41,15,NA,"Uds no pueden desearle a nadie una Feliz Navidad ya que solo han hecho de la CORRUPCIÓN UNA PRÁCTICA CONSTANTE EN TRIBUNALES DE FAMILIA , ustedes son los grandes responsables que NOSOTROS NO TENGAMOS ESA FELIZ NAVIDAD JUNTO A NUESTROS HIJOS #ni1diamas_  BASTA DE IDEOLOGÍAS EXTREMAS ⚠️⚠️⚠️⚠️⚠️⚠️⚠️⚠️",https://www.instagram.com/ni1diamas_/p/DSppVoeERbG/
2025-12-24T14:14:01.000Z,240,58,NA,"DESACATO A JUEZ DE LA REPUBLICA EN DIRECCIÓN DEL TRÁNSITO , ESTIGMATIZANDO FRENTE A TODO EL PÚBLICO EN VOZ ALTA PARA AMEDRENTAR…… NO SABEN CON QUIÉN SE ESTÁN METIENDO EN @vitacura_  HAGAN SU PEGA E INFÓRMENSE TARADOS ⚠️⚠️⚠️⚠️⚠️⚠️⚠️⚠️⚠️⚠️⚠️⚠️⚠️⚠️",https://www.instagram.com/ni1diamas_/reel/DSpiGqjkXuJ/
